uid,type,I lead a purposeful and meaningful life,My social relationships are supportive and rewarding,I am engaged and interested in my daily activities,I actively contribute to the happiness and well-being of others,I am competent and capable in the activities that are important to me,I am a good person and live a good life,I am optimistic about my future,People respect me
u01,pre,Mixed or neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Mixed or neither agree nor disagree,Agree
u02,pre,Agree,Strongly agree,Slightly agree,Agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Strongly agree
u03,pre,Agree,Disagree,Disagree,Mixed or neither agree nor disagree,Slightly agree,Agree,Slightly agree,Mixed or neither agree nor disagree
u04,pre,Slightly disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Slightly agree
u05,pre,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
u07,pre,Strongly agree,Slightly agree,Agree,Slightly agree,Strongly agree, Strongly agree,Strongly agree,Slightly agree
u09,pre,Slightly agree, Mixed or neither agree nor disagree,Agree,Agree,Agree, Strongly agree,Strongly agree,Slightly agree
u10,pre,Agree,Slightly disagree,Agree,Strongly disagree,Strongly agree,Mixed or neither agree nor disagree,Agree,Agree
u12,pre,Strongly agree,Agree,Slightly agree,Agree,Strongly agree, Strongly agree,Strongly agree,Mixed or neither agree nor disagree
u13,pre,Agree,Agree,Mixed or neither agree nor disagree,Slightly agree,Agree,Agree,Strongly agree,Mixed or neither agree nor disagree
u14,pre,Strongly agree,Strongly agree,Strongly agree,Agree,Agree, Strongly agree,Agree,Agree
u15,pre,Slightly agree,Agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Agree,Agree,Agree,Agree
u16,pre,Agree,Agree,Strongly agree,Slightly agree,Slightly disagree, Strongly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree
u17,pre,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree, Strongly agree,Slightly disagree,Mixed or neither agree nor disagree
u18,pre,Agree,Strongly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree
u19,pre,Agree,Agree,Agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree
u20,pre,Strongly agree,Strongly agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Agree,Agree,Mixed or neither agree nor disagree
